Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2017;12.250
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2016;11.550
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2015;10.850
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2023;14.682
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2022;13.652
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2021;12.895
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2020;12.019
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2019;11.874
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2018;11.317
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2017;10.802
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2016;10.300
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2015;9.948
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2023;36.646
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2022;34.316
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2021;32.782
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2020;30.839
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2019;30.671
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2018;29.424
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2017;28.347
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2016;27.270
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2015;26.424
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2023;12.709
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2022;11.754
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2021;11.100
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2020;10.463
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2019;10.380
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2018;9.885
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2017;9.440
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2016;9.090
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2015;8.877
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2023;31.314
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2022;29.113
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2021;27.748
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2020;26.373
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2019;26.342
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2018;25.190
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2017;24.216
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2016;23.542
Total Nacional;Andalucía;Granada;;Renta neta media por hogar;2015;23.018
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2023;18.642
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2022;17.473
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2021;16.547
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2020;15.608
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2019;15.537
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2018;14.828
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2017;14.166
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2016;13.666
Total Nacional;Andalucía;Granada;;Media de la renta por unidad de consumo;2015;13.354
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2023;15.750
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2022;15.050
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2019;12.950
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2017;12.250
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2016;11.550
Total Nacional;Andalucía;Granada;;Mediana de la renta por unidad de consumo;2015;11.550
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2023;15.122
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2022;13.943
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2021;13.124
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2020;12.274
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2019;12.168
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2018;11.555
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2017;11.013
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2016;10.566
Total Nacional;Andalucía;Granada;;Renta bruta media por persona;2015;10.305
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2023;37.261
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2022;34.534
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2021;32.809
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2020;30.938
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2019;30.878
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2018;29.444
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2017;28.252
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2016;27.364
Total Nacional;Andalucía;Granada;;Renta bruta media por hogar;2015;26.719
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2023;12.008
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2022;11.199
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2021;10.609
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2020;10.112
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2019;9.958
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2018;9.416
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2017;8.948
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2016;8.585
Total Nacional;Andalucía;Huelva;;Renta neta media por persona;2015;8.401
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2023;31.066
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2022;29.133
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2021;27.770
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2020;26.542
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2019;26.398
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2018;25.082
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2017;23.936
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2016;23.173
Total Nacional;Andalucía;Huelva;;Renta neta media por hogar;2015;22.595
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2023;17.893
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2022;16.835
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2021;15.993
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2020;15.239
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2019;15.083
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2018;14.288
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2017;13.589
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2016;13.059
Total Nacional;Andalucía;Huelva;;Media de la renta por unidad de consumo;2015;12.777
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2023;15.750
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2022;15.050
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2019;12.950
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2017;11.550
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2016;11.550
Total Nacional;Andalucía;Huelva;;Mediana de la renta por unidad de consumo;2015;10.850
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2023;14.148
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2022;13.152
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2021;12.418
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2020;11.767
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2019;11.560
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2018;10.927
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2017;10.357
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2016;9.912
Total Nacional;Andalucía;Huelva;;Renta bruta media por persona;2015;9.692
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2023;36.602
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2022;34.212
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2021;32.506
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2020;30.887
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2019;30.647
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2018;29.108
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2017;27.703
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2016;26.753
Total Nacional;Andalucía;Huelva;;Renta bruta media por hogar;2015;26.066
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2023;11.847
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2022;11.074
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2021;10.689
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2020;9.958
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2019;9.758
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2018;9.417
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2017;9.044
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2016;8.747
Total Nacional;Andalucía;Jaén;;Renta neta media por persona;2015;8.318
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2023;29.119
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2022;27.429
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2021;26.808
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2020;25.141
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2019;24.865
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2018;24.160
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2017;23.408
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2016;22.752
Total Nacional;Andalucía;Jaén;;Renta neta media por hogar;2015;21.789
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2023;17.412
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2022;16.414
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2021;15.902
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2020;14.825
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2019;14.656
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2018;14.114
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2017;13.575
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2016;13.134
Total Nacional;Andalucía;Jaén;;Media de la renta por unidad de consumo;2015;12.511
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2023;15.050
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2022;14.350
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2021;13.650
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2019;12.950
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2017;11.550
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2016;11.550
Total Nacional;Andalucía;Jaén;;Mediana de la renta por unidad de consumo;2015;10.850
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2023;13.800
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2022;12.870
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2021;12.408
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2020;11.468
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2019;11.280
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2018;10.830
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2017;10.385
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2016;10.020
Total Nacional;Andalucía;Jaén;;Renta bruta media por persona;2015;9.482
Total Nacional;Andalucía;Jaén;;Renta bruta media por hogar;2023;33.920
Total Nacional;Andalucía;Jaén;;Renta bruta media por hogar;2022;31.877
Total Nacional;Andalucía;Jaén;;Renta bruta media por hogar;2021;31.120
